group,names,scores,logfoldchanges,pvals,pvals_adj
0,GPR171,2.887689,,0.0038808335724912955,0.027329813890783775
0,SELL,2.7787738,,0.005456450016289123,0.03802404192535974
0,RPL39,2.732104,,0.006293124990949088,0.04295648457985726
0,GRAP2,2.7198906,,0.006530350269537316,0.04442415149345113
0,KLF2,2.7150915,,0.0066257459229827325,0.04492031134225582
0,RP11-18H21.1,2.6666114,,0.007662022549862042,0.05159611144688244
0,CCND3,2.5810885,,0.009848933365729628,0.06500946115993154
0,RP11-1399P15.1,2.5731282,,0.010078386935182785,0.0663051772051499
0,HMGB1,2.4392977,,0.014715843808780615,0.09586868930801704
0,ANAPC16,2.4125142,,0.015842918805884898,0.10287609614210973
0,EIF3F,2.3941221,,0.016660195924771557,0.10744216374898548
0,EIF3H,2.3879724,,0.01694161412552915,0.10825312540274218
0,IFI27,2.3826847,,0.017186908024798622,0.1094707517503097
0,CCNI,2.3496654,,0.018790299148188663,0.11930348665516612
0,EMP3,2.257849,,0.023955078979617864,0.15113614498181618
0,UBB,2.2555788,,0.024097030007884167,0.1515536478483281
0,TMA7,2.2288527,,0.025823701339960297,0.16105022179943895
0,SH2D1A,2.1971266,,0.028011407810082916,0.17184912766922034
0,KRT1,2.1797116,,0.02927884321604584,0.17852953180515754
0,RIC3,2.156233,,0.03106546882429218,0.1882755686320738
0,CD48,2.1227539,,0.033774480697089736,0.20407541206700747
0,CITED2,1.9406443,,0.05230144077819364,0.30585637881984584
0,CCR7,1.9340346,,0.05310886906267762,0.30967270590482576
0,PNRC1,1.8785425,,0.060306988573984456,0.34559878838959573
0,PSME1,1.8271023,,0.06768438160939341,0.3845703500533717
0,SUMO2,1.7642246,,0.07769416020110445,0.4340455877156673
0,LPIN1,1.7413208,,0.08162734897256942,0.4528430404345048
0,PPIB,1.7411485,,0.08165756046490784,0.4528430404345048
0,RGS1,1.6963466,,0.08982024745595889,0.49082102434950214
0,CD53,1.6781845,,0.09331107515328876,0.5061767959705875
0,MIAT,1.6575223,,0.097413926774132,0.5265617663466595
0,TSHZ2,1.5518832,,0.12069017616255745,0.6352114534871445
0,PITPNA-AS1,1.5394111,,0.12370396398895431,0.6493646403619648
0,STK17A,1.5112196,,0.13073250843162715,0.6808984814147248
0,ZFP36,1.4775393,,0.13953114731233476,0.7192327181048184
0,RP1-313I6.12,1.3147987,,0.18857756296410966,0.9414522783179535
0,CCDC66,1.2769514,,0.20161940598244377,0.9956513875676235
0,PRKD2,1.1968887,,0.2313499439061667,0.9991286898850529
0,TARSL2,1.1696743,,0.24213207929637515,0.9991286898850529
0,KLRB1,1.1559952,,0.24768311768980855,0.9991286898850529
0,MOCS2,1.0683745,,0.2853516019498329,0.9991286898850529
0,TIGIT,0.99601346,,0.31924360024046483,0.9991286898850529
0,TAGLN2,0.96218944,,0.3359544640239871,0.9991286898850529
0,PAXIP1-AS1,0.9493725,,0.3424311986280829,0.9991286898850529
0,FHIT,0.9309517,,0.3518785283627166,0.9991286898850529
0,SCAPER,0.92629623,,0.3542920372553523,0.9991286898850529
0,FHL1,0.92353743,,0.35572718709605655,0.9991286898850529
0,GPKOW,0.9155197,,0.3599188674073418,0.9991286898850529
0,YWHAB,0.8923285,,0.37221687038170426,0.9991286898850529
0,C19orf52,0.8899146,,0.3735117589724437,0.9991286898850529
0,PLA2G12A,0.8897996,,0.37357348980553295,0.9991286898850529
0,HNRNPA2B1,0.85994136,,0.3898213758834904,0.9991286898850529
0,FBXO21,0.8563492,,0.3918046789656551,0.9991286898850529
0,CAPZB,0.8471244,,0.3969257781075276,0.9991286898850529
0,TMEM116,0.8044205,,0.4211541831849789,0.9991286898850529
0,EDF1,0.7646765,,0.44446420958669963,0.9991286898850529
0,PTPN7,0.7297604,,0.4655366476265179,0.9991286898850529
0,MLLT11,0.70188504,,0.4827508699621843,0.9991286898850529
0,ENO1,0.66277325,,0.5074757772087723,0.9991286898850529
0,RPL23,0.6560487,,0.5117927972097649,0.9991286898850529
0,NPHP3,0.6502724,,0.5155162502140108,0.9991286898850529
0,RP11-70P17.1,0.6434329,,0.5199432276655798,0.9991286898850529
0,DUSP1,0.62989753,,0.5287616145575227,0.9991286898850529
0,RP11-94L15.2,0.62943774,,0.5290625091577762,0.9991286898850529
0,CEP68,0.6140057,,0.5392115557669399,0.9991286898850529
0,POMT1,0.60943645,,0.542235188618011,0.9991286898850529
0,MDS2,0.609379,,0.5422732755146265,0.9991286898850529
0,UQCC1,0.59848744,,0.5495147302967764,0.9991286898850529
0,PIGU,0.5835727,,0.559507844750732,0.9991286898850529
0,ODC1,0.5814461,,0.5609398318943668,0.9991286898850529
0,CEP85L,0.57440543,,0.5656934900584678,0.9991286898850529
0,ZBP1,0.57107186,,0.5679509309533367,0.9991286898850529
0,TBC1D23,0.5707845,,0.5681457395648922,0.9991286898850529
0,BBS2,0.5679682,,0.5700565534325301,0.9991286898850529
0,CHD7,0.5359546,,0.5919899129499642,0.9991286898850529
0,PDCD1,0.5281955,,0.5973636573444167,0.9991286898850529
0,SPG7,0.5254367,,0.5992796523696071,0.9991286898850529
0,SURF6,0.5180799,,0.6044025317757871,0.9991286898850529
0,RCL1,0.5136543,,0.6074937006304107,0.9991286898850529
0,FAM210B,0.50894135,,0.6107933285960716,0.9991286898850529
0,HCFC2,0.4937105,,0.62151066494917,0.9991286898850529
0,TAF5,0.48825034,,0.6253725250721667,0.9991286898850529
0,CIRBP,0.48506048,,0.6276334406367178,0.9991286898850529
0,PEMT,0.47991648,,0.6312867890204157,0.9991286898850529
0,UNC45A,0.47965783,,0.6314707159794222,0.9991286898850529
0,CD2AP,0.4778761,,0.6327383879135268,0.9991286898850529
0,RP11-138A9.2,0.47707146,,0.6333112390466078,0.9991286898850529
0,MTIF2,0.47523224,,0.6346214385226717,0.9991286898850529
0,SEPT11,0.4611796,,0.6446697477570426,0.9991286898850529
0,HIGD2A,0.44500038,,0.6563194707645974,0.9991286898850529
0,RFNG,0.4369539,,0.6621447895738205,0.9991286898850529
0,ARMCX5,0.43370655,,0.6645015500137754,0.9991286898850529
0,IDUA,0.43066037,,0.6667153361330675,0.9991286898850529
0,ENTPD3-AS1,0.41899294,,0.6752212900992252,0.9991286898850529
0,ERCC6L2,0.41485474,,0.6782482436454047,0.9991286898850529
0,PGM2L1,0.41462484,,0.6784165606258623,0.9991286898850529
0,SCAI,0.3985893,,0.6901958409274684,0.9991286898850529
0,METTL8,0.39769843,,0.6908524835392345,0.9991286898850529
0,AC093323.3,0.3949684,,0.6928662226755775,0.9991286898850529
0,TMEM177,0.39301422,,0.6943089707996233,0.9991286898850529
0,TNFSF14,0.39287055,,0.6944150990263587,0.9991286898850529
0,RP11-706O15.1,0.39163482,,0.6953280488980245,0.9991286898850529
0,CPNE7,0.39037037,,0.6962626876155416,0.9991286898850529
0,ST6GALNAC1,0.38927835,,0.6970702470022994,0.9991286898850529
0,RCE1,0.38789895,,0.698090812712058,0.9991286898850529
0,RP5-827C21.4,0.3847953,,0.7003890801527126,0.9991286898850529
0,TUBA1A,0.37580046,,0.707065245587539,0.9991286898850529
0,RASD1,0.37462223,,0.7079414437155775,0.9991286898850529
0,ZNF528,0.37416244,,0.7082834796854006,0.9991286898850529
0,LZTS2,0.37160477,,0.7101871271474354,0.9991286898850529
0,URGCP,0.3712312,,0.7104653397804268,0.9991286898850529
0,FAIM3,0.3635008,,0.716230811960026,0.9991286898850529
0,TTPAL,0.3580407,,0.7203128727077951,0.9991286898850529
0,ATP6V0E1,0.3579832,,0.7203558844392586,0.9991286898850529
0,TOM1L2,0.3563739,,0.7215605717690603,0.9991286898850529
0,NR2C1,0.35373005,,0.7235412000104677,0.9991286898850529
0,C16orf52,0.35203454,,0.7248123615756947,0.9991286898850529
0,C12orf75,0.34508005,,0.7300341845990881,0.9991286898850529
0,MUM1,0.3397636,,0.7340345477547537,0.9991286898850529
0,DPY19L4,0.33680364,,0.7362649177162602,0.9991286898850529
0,SPIN1,0.33605647,,0.7368282760623275,0.9991286898850529
0,ZNF799,0.33390117,,0.738454139879092,0.9991286898850529
0,ZNF121,0.3329241,,0.7391915841320386,0.9991286898850529
0,PCAT1,0.33203322,,0.7398641688935219,0.9991286898850529
0,DUSP10,0.32694668,,0.7437082080355653,0.9991286898850529
0,RNF25,0.32568222,,0.7446647847676477,0.9991286898850529
0,DIS3,0.32283723,,0.7468185209220195,0.9991286898850529
0,RPUSD2,0.32079685,,0.7483643391006234,0.9991286898850529
0,ANKRD27,0.32030833,,0.7487346149810291,0.9991286898850529
0,PJA1,0.31881398,,0.7498675829265591,0.9991286898850529
0,MRM1,0.31617013,,0.7518733858351755,0.9991286898850529
0,HBP1,0.315308,,0.7525278152769328,0.9991286898850529
0,RP11-169D4.2,0.31418723,,0.753378839477622,0.9991286898850529
0,AC109826.1,0.3138424,,0.7536407534219588,0.9991286898850529
0,RFPL2,0.3118595,,0.7551473078691847,0.9991286898850529
0,PCBP2,0.30694538,,0.7588849479998812,0.9991286898850529
0,RMDN3,0.3049625,,0.7603947207899553,0.9991286898850529
0,ACD,0.30303708,,0.7618616060223657,0.9991286898850529
0,GOLGA8B,0.2953354,,0.7677376588130722,0.9991286898850529
0,GRAP,0.29527795,,0.7677815606498097,0.9991286898850529
